NaN
420A15AS:Advanced Data Management:AI16:Anglais / English:2, 2
420A10AS:Introduction to Data Structures:AI04:Anglais / English:1, 0
420A16AS:Machine Learning and Neural Networks:AI08:Anglais / English:2, 2
420A11AS:Database Management Systems:AI05:Anglais / English:1, 1
420BD1AS:Bases de donn�es I:IN-5:Anglais / English:2, 0
420A04AS:Introduction to Relational Database Systems:AI05:Anglais / English:2, 2
420A06AS:Introduction to Artificial Intelligence:AI07:Anglais / English:2, 0
420AP1AS:Algorithmes et programmation:IN-3:Anglais / English:2, 0
