I can teach max 15hrs / week if all the course...
420SS1AS:Client Based Operating System:IN-16:Anglais / English:2, 0
410CD3AS:Computer Management I:I-1:Anglais / English:1, 0
410CJ1AS:Computer Management I:I-1:Anglais / English:3, 0
410CJ2AS:Informatique de gestion II:I-1:Anglais / English:2, 0
420RE1AS:Introduction to Networks:IN-18:Anglais / English:2, 0
420NR1AS:Notions de base de routage et commutation:IN-18:Anglais / English:2, 0
420SB1AS:Server Based Operating System:IN-20:Anglais / English:2, 0
420SS1AS:Client Based Operating System:IN-16:Anglais / English:2, 0
420SU1AS:Computer Technical Support:IN-16:Anglais / English:2, 0
904767:Integration into workplace:FPS:Anglais / English:1, 0
