No
420SB1AS:Server Based Operating System:IN-20:Anglais / English:2, 0
420SE2AS:Syst�me d'exploitation et r�seautique:IN-2:Anglais / English:1, 0
420SS1AS:Client Based Operating System:IN-16:Anglais / English:2, 0
420EX2AS:Installation et configuration d'un syst�me d'e...:IN-20:Anglais / English:1, 0
420AL2AS:Administration de syst�mes d'exploitation libres:IN-16:Anglais / English:1, 0
420SU1AS:Computer Technical Support:IN-16:Anglais / English:1, 0
420RC2AS:Routage et commutation de r�seaux hi�rarchiques:IN-18:Anglais / English:1, 1
420RE1AS:Introduction to Networks:IN-18:Anglais / English:2, 0
420NR1AS:Notions de base de routage et commutation:IN-18:Anglais / English:1, 0
420CT1AS:Outils informatiques:IN-1:Anglais / English:1, 0
420BD1AS:Bases de donn�es I:IN-5:Anglais / English:1, 0
420A12AS:Information Security:AI13:Anglais / English:1, 0
